dataset, model, explainer, RC, FA, RA, SA, SRA, PGU, PGI, RIS, ROS
compas,ann,ig,,,,,,0.0946247,0.13027933,279.13031758403554,1192.8265645875617
compas,ann,ig,,,,,,0.10940188,0.17017964,292.91833073629607,1151.6354797555764
compas,ann,ig,,,,,,0.42288262,0.58299893,859.044497852895,2196.5912609675383
compas,ann,ig,,,,,,0.50616705,0.29528835,1915.613902184429,3544567.4999821093
compas,ann,ig,,,,,,0.48617157,0.32703453,1990.5513399306528,42940.01134035521
compas,ann,ig,,,,,,0.0024435022,0.025877435,7.25959259023099,1238.792231658312
compas,ann,ig,,,,,,0.0043266662,0.010504335,6.621084783861906,1625.3211394261164
compas,ann,ig,,,,,,0.003105309,0.009077743,6.733052251172764,1328.959576261867
compas,ann,ig,,,,,,0.8058188,0.73335576,34.69084348009111,1976.4072513712058
compas,ann,ig,,,,,,0.78106326,0.76573837,46.06266952098191,2020.1594881989872
compas,ann,ig,,,,,,0.74167335,0.7386658,45.818125914457426,1798.5480017956345
compas,ann,ig,,,,,,0.6765096,0.7093216,45.364243668533504,1946.146078784571
compas,ann,ig,,,,,,0.1311424,0.093031794,353.7608148630662,4524.891540871554
compas,ann,ig,,,,,,0.08259868,0.03084257,494.32937260696235,43488.37020709683
compas,ann,ig,,,,,,0.58281326,0.6215794,71369.5376067639,497726.5766122793
compas,ann,ig,,,,,,0.7129439,0.36388132,811.3816880521788,5195.033212505997
compas,ann,ig,,,,,,0.59391326,0.3049645,658.6634916125169,2235.085511942632
compas,ann,ig,,,,,,0.6140201,0.66790915,31434.370626523305,114238.65364028614
compas,ann,ig,,,,,,0.63282645,0.53514445,28185.61685387217,159813.07293699897
compas,ann,ig,,,,,,0.6675333,0.7319888,141419.1967159171,240982.27980366512
compas,ann,ig,,,,,,0.17878838,0.103041865,415.34218525996886,865.2050263302835
compas,ann,ig,,,,,,0.9039682,0.5954796,34.00334318432016,1683.3753135495235
compas,ann,ig,,,,,,0.3873379,0.59309685,308171.432255464,130409.16415284577
compas,ann,ig,,,,,,0.6757884,0.49691904,441.46196983030006,458.52265736728276
compas,ann,ig,,,,,,0.4886172,0.6769124,53828.43237546378,78508.00537241026
compas,ann,ig,,,,,,0.031692825,0.105235204,41.953876842080014,820.6513695239612
compas,ann,ig,,,,,,0.37009385,0.58307064,475.8336474470565,1954.5983938130025
compas,ann,ig,,,,,,0.02804653,0.05936531,10.699244107607443,1413.9671591260637
compas,ann,ig,,,,,,0.38373134,0.32967308,35.2277570668702,3442.3282982147616
compas,ann,ig,,,,,,0.7576992,0.49414808,652.4207424932832,456.19311724412154
compas,ann,ig,,,,,,0.72657967,0.659337,928.3536859008141,1740.7621100289796
compas,ann,ig,,,,,,0.5373389,0.43813094,359.851903512608,1593.720909662428
compas,ann,ig,,,,,,0.4272014,0.6658332,589.0039094722285,1870.397648718169
compas,ann,ig,,,,,,0.53823996,0.37298983,264.384957010057,2434.02267127934
compas,ann,ig,,,,,,0.5668487,0.4995708,119.96401716048554,40164.23329896312
compas,ann,ig,,,,,,0.22262761,0.40160668,153.78261332199799,1701.2402356505193
compas,ann,ig,,,,,,0.43689096,0.54964006,135.2728046120737,142264.2039601286
compas,ann,ig,,,,,,0.0023269642,0.016374607,3.595261774264868,1169.7326631702533
compas,ann,ig,,,,,,0.26609898,0.30261356,126.22061525433162,401312.3667120554
compas,ann,ig,,,,,,0.4637775,0.3910501,113.69288184944119,1163.9048552042666
compas,ann,ig,,,,,,0.3785855,0.29312935,51.838918167668815,1252.6126576547845
compas,ann,ig,,,,,,0.44887018,0.41374326,26.00051666816897,1920.263958261006
compas,ann,ig,,,,,,0.06574783,0.4432652,16.14717508191031,747.2475759213975
compas,ann,ig,,,,,,0.0059795086,0.032517172,63.51893929570814,2952.4914149997676
compas,ann,ig,,,,,,0.5251506,0.5838202,396.2709597944669,2662.7094182202763
compas,ann,ig,,,,,,0.5545136,0.25502062,1865.7367395915792,33026.393888897255
compas,ann,ig,,,,,,0.10179326,0.33830315,32.08883708522637,1823.8788051191486
compas,ann,ig,,,,,,0.629231,0.4329627,425.2397465996797,624944.3597378437
compas,ann,ig,,,,,,0.71795356,0.61998415,30.8708015869573,1911.417355358928
compas,ann,ig,,,,,,0.53061295,0.38396657,512.1328884947652,38644.48435687031
compas,ann,ig,,,,,,0.7970518,0.6773429,30.0909451029164,7634.842407532811
compas,ann,ig,,,,,,0.006699969,0.013803542,7.100676333992476,2324.47449340391
compas,ann,ig,,,,,,0.010663982,0.053958938,61.53259461589123,642.3131164497706
compas,ann,ig,,,,,,0.007744792,0.11273706,76.89750323950533,517.6952631479315
